NDVI,GNDVI,SAVI,RVI,EVI,label,label_str
0.7911485,0.67734206,0.61988914,8.576181,0.7319549,1,Sehat
0.7494002,0.6508177,0.48183066,6.980851,0.51945895,1,Sehat
0.7430791,0.6642708,0.50339985,6.784499,0.54456145,1,Sehat
0.73918295,0.6201725,0.55266327,6.6682096,0.6731298,1,Sehat
0.63307214,0.59136385,0.40391904,4.4506626,0.44287768,1,Sehat
0.8115632,0.7013575,0.5206044,9.613637,0.55618745,1,Sehat
0.53341615,0.4976947,0.3568421,3.286475,0.39936754,1,Sehat
0.81195736,0.70415306,0.5436275,9.635884,0.61726767,1,Sehat
0.74679285,0.61469674,0.5460277,6.8986716,0.62506604,1,Sehat
0.77268904,0.6600433,0.5652664,7.7985215,0.6409899,1,Sehat
0.5843049,0.5344191,0.41321352,3.8112192,0.46477613,1,Sehat
0.7483134,0.66864777,0.4885927,6.9463916,0.5342125,1,Sehat
0.72506434,0.66602266,0.4477586,6.274429,0.4808932,1,Sehat
0.77731425,0.67881775,0.50611204,7.981264,0.5338467,1,Sehat
0.545438,0.45682403,0.4282242,3.3998396,0.63650274,1,Sehat
0.7695875,0.66398907,0.5198967,7.6800847,0.57897836,1,Sehat
0.7527594,0.6479867,0.5367262,7.089286,0.63619405,1,Sehat
0.7513488,0.63943785,0.5186764,7.043396,0.5613193,1,Sehat
0.71365213,0.641643,0.4795761,5.9845095,0.53429765,1,Sehat
0.7329545,0.63034534,0.5253759,6.489362,0.59728605,1,Sehat
0.72246194,0.60712016,0.50744444,6.2062197,0.5649888,1,Sehat
0.7594413,0.66470885,0.49672908,7.313978,0.5504931,1,Sehat
0.6376176,0.5603345,0.46770564,4.519031,0.5469702,1,Sehat
0.71726185,0.63804114,0.48029226,6.073684,0.5624489,1,Sehat
0.6837104,0.55984074,0.48121017,5.323319,0.73012805,1,Sehat
0.7018957,0.60312504,0.4818872,5.709062,0.56569904,1,Sehat
0.51460284,0.5123943,0.31374645,3.120337,0.33737987,1,Sehat
0.76823175,0.6658823,0.5124389,7.6293106,0.56227833,1,Sehat
0.7399804,0.65774155,0.49956006,6.6917295,0.5583831,1,Sehat
0.6758286,0.5903337,0.5042219,5.169576,0.5679155,1,Sehat
0.7345523,0.6632406,0.4276799,6.5344415,0.43415067,1,Sehat
0.7419933,0.6278778,0.5250397,6.7517366,0.6318902,1,Sehat
0.765114,0.66682273,0.5126162,7.514768,0.5648023,1,Sehat
0.8078331,0.70457286,0.63274074,9.407619,0.73060113,1,Sehat
0.68204314,0.5733333,0.51412797,5.2901616,0.6389806,1,Sehat
